期号,日期,标题,主播,嘉宾,主题,关键词,文件名
第91期,2023-12-02,AI能解决自己的法律问题吗,李俊、王老师、老庄,,这周我们聊了百岁老人离世、拼多多和阿里、崩坏·星穹铁道、Mojo编程语言、滴滴惊魂20小时还有生成式AI的法律问题。,人工智能；软件开发；法律与治理,pie-ep91.mp3.srt
第92期,2023-12-09,啥是有技术含量的假唱,李俊、王老师、老庄,,这期我们聊了今年的TGA、对产品demo的免疫能力、假唱、编程语言大模型、教育的一些底线，还有十二月的荐书。,人工智能；软件开发；教育与学习；游戏与文娱,pie-ep92.mp3.srt
第93期,2023-12-17,平台与网红,李俊、王老师、老庄,,这期我们聊了某些关于程序员的烂梗、生成式AI包饺子的故事、平台与网红以及数字霸权的现状与未来。,人工智能；软件开发；互联网与平台；媒体与信息；社会生活,pie-ep93.mp3.srt
第94期,2023-12-24,文科很有用但是,李俊、王老师、老庄,,这期我们点评了一大批近期新闻，然后重点聊了最新的AI进展及未来展望，还有我们高级别人才培养的一些问题。,人工智能；教育与学习；媒体与信息；社会生活,pie-ep94.mp3.srt
第95期,2023-12-31,你好2024,李俊、王老师、老庄,,这期我们聊了豆瓣的年度电影排行榜和开源社的年末专题，上期预告的网络游戏管理办法与行业现状，以及正在变得反效率的效率工具们，还有我们节目的年末特别策划：乱弹的2023与2024大预言。,开源；游戏与文娱；节目与社群,pie-ep95.mp3.srt
第96期,2024-01-07,数据局在行动,李俊、王老师、老庄,,这期我们聊了初代米老鼠进入公共领域、苹果和特斯拉股票、辞职的哈佛校长、Pascal语言之父、新时代反PUA指南、公共政策争议，还有本期重头戏，国家数据局新年发布的三年行动计划。,互联网与平台；法律与治理；数据与科学,pie-ep96.mp3.srt
第97期,2024-01-14,编程已死 编程万岁,李俊、王老师、老庄,,重要启事：临近100期和2周年的里程碑，现在开始征集听友们感兴趣的话题和活动建议，所有听友可以随时留言给我们，提出你对特别活动的建议和想聊的话题。,软件开发；节目与社群,pie-ep97.mp3.srt
第98期,2024-01-21,新年的开源榜单和大模型,李俊、王老师、老庄,,重要启事：临近100期和2周年的里程碑，现在开始征集听友们感兴趣的话题和活动建议，所有听友可以随时留言给我们，提出你对特别活动的建议和想聊的话题。,人工智能；开源；节目与社群,pie-ep98.mp3.srt
第99期,2024-01-28,熵增？第一性原理？,李俊、王老师、老庄,,重要启事：临近100期和2周年的里程碑，现在开始征集听友们感兴趣的话题和活动建议，所有听友可以随时留言给我们，提出你对特别活动的建议和想聊的话题。,节目与社群,pie-ep99.mp3.srt
第100期,2024-02-04,新起点,李俊、王老师、老庄,,❊ 周年庆②来了，记得填问卷申请参加 https://wj.qq.com/s2/14118054/1lxu/,节目与社群,pie-ep100.mp3.srt
第101期,2024-02-18,Sora和春晚,李俊、王老师、老庄,,❊ 周年会②线上活动定在2月25日（周日）晚7点，腾讯会议 836-594-733https://meeting.tencent.com/dm/AJ3wKHdwhH0e❊ 周年会②线下（上海）活动定在3月2日（周六）下午，具体时间和地点另行通知,人工智能；互联网与平台；节目与社群,pie-ep101.mp3.srt
特别篇·二周年,2024-02-26,二周年活动实录,李俊、王老师、老庄,听友,二周年线上直播问答实录。,媒体与信息；节目与社群,pie-2nd-anniv.mp3.srt
第102期,2024-03-03,假如媒体人懂数据,李俊、王老师、老庄,,第一次线下聚会刚刚结束，主播们立刻回到虚拟录音室，这次聊了 Google、Microsoft 和 Apple 的新闻，从春运大数据看数据新闻，美国新的跨国数据传输限制，基于新一代 Deep Fake 的骗局。,互联网与平台；国际政治；数据与科学；媒体与信息；节目与社群,pie-ep102.mp3.srt
第103期,2024-03-10,美国制造,李俊、王老师、老庄,,这期我们缅怀了鸟山明老师和日漫的黄金十年，点评了近期一组AI相关新闻，还聊了美国制造和华为的企业文化。,人工智能；互联网与平台；教育与学习；国际政治；经济与产业；媒体与信息,pie-ep103.mp3.srt
第104期,2024-03-17,字节的历史时刻,李俊、王老师、老庄,,这期我们聊了这一次 TikTok 危机的来龙去脉和可能走向，公司泄密与保密，以及大学生的研究能力培养，当然还有三月的荐书。,互联网与平台；教育与学习；历史与文化,pie-ep104.mp3.srt
第105期,2024-03-24,美国人的鸦片战争？,李俊、王老师、老庄,,这期我们聊了某刷星星的开源项目、中美之间的认知失衡、数字世界的法律规则体系以及新一期的名词鉴伪。,开源；国际政治；法律与治理；航天与军事,pie-ep105.mp3.srt
第106期,2024-04-02,Rust语言要干掉谁,李俊、王老师、老庄,,这一期我们聊了23年前的南海撞机事件、球二在日本公映的反响、小米的 SU7、巴尔的摩的断桥，还有国产数据库现状，以及编程界的当红炸子鸡 Rust 语言。,软件开发；数据与科学,pie-ep106.mp3.srt
第107期,2024-04-07,重构还是重写,李俊、王老师、老庄,,这期我们聊了WCK加沙遇袭、供应链安全新波澜、程序员经典错觉、面对**重构还是重写，以及如何利用开源项目提升自己。,开源；软件开发,pie-ep107.mp3.srt
第108期,2024-04-14,新质生产力要更敢想,李俊、王老师、老庄,,这一期我们重点聊了对新质生产力的理解，可能大家对这个概念要想的更远、胆子更大一点，以及其他几个新闻话题，还有本月的荐书。,经济与产业；媒体与信息,pie-ep108.mp3.srt
第109期,2024-04-21,大模型军备竞赛真可怕,李俊、王老师、老庄,,本期我们聊了人社部牵头的数字人才培育三年行动方案、业界大佬关于开源闭源大模型的争论、王老师的欧洲行、本地大模型怎么玩、科技领域的认知战，还有高校人才体系的问题。,人工智能；开源；教育与学习；国际政治；航天与军事,pie-ep109.mp3.srt
番外10,2024-04-24,还是都学点法吧,李俊、王老师、老庄,振华,暌违多时的番外篇又来了！这次我们又请来老朋友振华，一起聊聊近期一个开源软件相关的著作权案例及其宣传文案引发的争议，以及背后的延伸话题。,开源；软件开发；法律与治理,pie-epx10.mp3.srt
第110期,2024-04-28,编程与游戏人生,李俊、王老师、老庄,,这期我们聊了近期美国的两个新闻，聊了 Go 语言，聊了我们上周在贵州的各种见闻，还有魔兽世界里的公会和人生体验。,软件开发；国际政治；媒体与信息；游戏与文娱；社会生活,pie-ep110.mp3.srt
第111期,2024-05-07,二次元与IP运营,李俊、王老师、老庄,,这期我们点评了 Google 最新一波“人员优化”、美国重新定义“反犹主义”以及某位听友的评论，然后聊了从崩铁音乐会看二次元IP运营，以及AI与创意产业的问题。,人工智能；互联网与平台；国际政治；经济与产业；游戏与文娱；节目与社群,pie-ep111.mp3.srt
第112期,2024-05-12,欧洲大战略与人生定律,李俊、王老师、老庄,,这期我们重点聊了近期中欧外交、丘成桐引发争议的演讲，以及新的名词鉴伪专栏聊聊“一万小时定律”为代表的一类“人生定律”，当然还有5月的荐书。,国际政治；社会生活,pie-ep112.mp3.srt
第113期,2024-05-19,论科学的质疑,李俊、王老师、老庄,,这期我们聊了一些近期AI的进展、俄中大外交、如何看待重现江湖的阿波罗登月之辩，还有陈嘉映老师的《解释鸿沟》节目。,人工智能；教育与学习；数据与科学；航天与军事；节目与社群,pie-ep113.mp3.srt
第114期,2024-05-26,内容产业不等于广告产业,李俊、王老师、老庄,,这期我们点评了最近中国退出世界超算排名以及微软开搞 Copilot+PC 的新闻，然后聊了互联网平台与出版社冲突的背后、某站产品出了什么问题以及任天堂出手刀劈开源模拟器的事情。,人工智能；开源；软件开发；互联网与平台；国际政治；经济与产业,pie-ep114.mp3.srt
第115期,2024-06-01,认真做事不辩经,李俊、王老师、老庄,,这期我们聊了近期大洋彼岸懂王和AI相关人才法案的新闻，比亚迪的新车，清华团队接手YOLO开源项目及其背后启示，警惕身份政治陷阱，还有小破站考古。,人工智能；开源；国际政治；媒体与信息；历史与文化,pie-ep115.mp3.srt
第116期,2024-06-09,胜利与精神胜利,李俊、王老师、老庄,,这期我们聊了印度大选、星舰第四次试飞、数字经济专业和高考志愿填报的事儿。,教育与学习；经济与产业,pie-ep116.mp3.srt
第117期,2024-06-15,果粉、果吹和果黑,李俊、王老师、老庄,,这期我们聊了交大团队颇为惊艳的LLM推理引擎，苹果拥抱大模型背后的果粉、果吹和果黑们，关于开源镜像站的新闻和分析，当然还有六月的荐书。,人工智能；开源；互联网与平台；媒体与信息,pie-ep117.mp3.srt
第118期,2024-06-23,黑悟空大戏,李俊、王老师、老庄,,这期我们聊了黑神话悟空、气功和数学爱好者。,数据与科学；游戏与文娱,pie-ep118.mp3.srt
第119期,2024-06-30,两老儿辩高尔夫,李俊、王老师、老庄,,这期我们聊了近期几个热门新闻、仓颉编程语言、大模型的一些新进展，还有帝国大选电视辩论。,人工智能；软件开发；国际政治；媒体与信息；体育,pie-ep119.mp3.srt
第120期,2024-07-06,在线教育平台的难,李俊、王老师、老庄,,这一期的内容有暑期的游戏、天龙三号事故、腾讯课堂停止服务和大学的人工智能狂热，还有新一期的名词鉴伪。,人工智能；互联网与平台；教育与学习；媒体与信息；游戏与文娱,pie-ep120.mp3.srt
第121期,2024-07-14,技术进步与人类进化,李俊、王老师、老庄,,这期我们聊了仓颉编程语言、萝卜快跑以及大语言模型商业化的话题，还有七月的荐书。,软件开发；节目与社群,pie-ep121.mp3.srt.srt
第122期,2024-07-21,地平线上的懂王朝,李俊、王老师、老庄,,这期我们点评了几个近期新闻，然后重点聊了懂王遇刺之后的种种话题，还聊了最近让LLM们大翻车的数学小题，以及AI写手的可能性。,人工智能；国际政治；数据与科学；媒体与信息,pie-ep122.mp3.srt
第123期,2024-07-28,改革的新里程碑,李俊、王老师、老庄,,这期我们点评了巴黎奥运开幕式、董宇辉和东方甄选分家、瑞士尝试政府软件强制开源的事儿，还重点聊了三中全会《决定》里的一些亮点和我们关注的点，以及远程办公的“兴衰”。,开源；软件开发；体育,pie-ep123.mp3.srt
第124期,2024-08-04,网证与网号干啥的,李俊、王老师、老庄,,这期我们有奥运杂谈、伊朗危机、自动驾驶与失业等几个话题，还科普了一下网证与网号到底干啥的。,互联网与平台；法律与治理；体育,pie-ep124.mp3.srt
第125期,2024-08-12,再见，巴黎奥运,李俊、王老师、老庄,,本期我们继续聊巴黎奥运和美国大选的新进展，以及各地扩招软件相关专业学生的事，还有最新一期的名词鉴伪。,软件开发；教育与学习；国际政治；体育,pie-ep125.mp3.srt
第126期,2024-08-17,电子“监工”,李俊、王老师、老庄,,这期我们聊了《黑神话·悟空》的媒体评分、懂王和马老板的聊天节目、GitHub的宕机与回滚、正向我们走来的低空经济还有电子监工，另外还有8月的荐书。,开源；国际政治；经济与产业；媒体与信息；节目与社群,pie-ep126.mp3.srt
第127期,2024-08-24,纪录是用来打破的,李俊、王老师、老庄,,这期我们只聊了两个话题：远超预期的黑神话悟空及其带来的各种影响，还有谷歌前 CEO 纵论天下大势。,综合话题,pie-ep127.mp3.srt
第128期,2024-09-01,从专家到砖家,李俊、王老师、老庄,,这期继续黑神话，还聊了过去几十年从专家到砖家的蜕变，以及新一期名词鉴伪“熊孩子”。,综合话题,pie-ep128.mp3.srt
第129期,2024-09-08,社交媒体断案,李俊、王老师、老庄,,这期我们聊了黑猴子通关后的最终评价、阿里开源大模型下架事件、社交媒体断案还有对未来AI安全治理的前瞻。,人工智能；开源；互联网与平台；法律与治理；媒体与信息；社会生活,pie-ep129.mp3.srt
第130期,2024-09-15,帝国大选冲刺,李俊、王老师、老庄,,这期我们聊了这周几个科技新闻、帝国大选进入冲刺期、以及新一期名词鉴伪，当然，还有本月的荐书。,国际政治；媒体与信息,pie-ep130.mp3.srt
第131期,2024-09-22,AI什么值得学,李俊、王老师、老庄,,这期我们聊了新开源的 Qwen-2.5、引爆BP机的背后、AI教育应该怎么做以及 Python 核心社区遇到的治理难题。,人工智能；开源；教育与学习；法律与治理,pie-ep131.mp3.srt
第132期,2024-09-29,祖国75岁生快,李俊、王老师、老庄,,提前祝大家国庆快乐，长假玩的开心，吃的开心，睡的畅快。本期我们点评了 Meta 新发布的 Llama-3.2、飞向大洋深处的真理、黑神话铁粉 IGN，还有两个与开源有关的话题，以及新的名词鉴伪。,开源；媒体与信息,pie-ep132.mp3.srt
第133期,2024-10-06,数学有多重要,李俊、王老师、老庄,,国庆假期中的一期，我们跟进了上期的两个话题（IGN 的挽尊与后开源时代的两个新案例），推荐了国庆电影档中的《只此青绿》，还聊了中东局势走向和数学有多重要以及该怎么学。,开源；数据与科学；游戏与文娱,pie-ep133.mp3.srt
第134期,2024-10-13,触了电的诺奖,李俊、王老师、老庄,,这期我们聊了视频网站的省流困境、马老板的“Dark MAGA”、今年画风大变的诺奖、我们心目中的 AI PC 还有怎么看待“副业”的话题，当然还有十月的荐书。,人工智能；国际政治；历史与文化,pie-ep134.mp3.srt
第135期,2024-10-19,科技大会怎么办,李俊、王老师、老庄,,这期我们聊了最近不太妙的 Intel、诺贝尔经济学奖和诺贝尔奖经济学，今年的 RTE 大会 rteconf.com 、中国开源年会 COSCon 2024 以及怎么办大会，还有适老经济的话题。,开源；国际政治；经济与产业；数据与科学,pie-ep135.mp3.srt
第136期,2024-10-28,美国式开源,李俊、王老师、老庄,,这期我们聊了帝国大选最后冲刺、Linux 基金会背后的美国式开源、Claude 推出争议功能，以及新的名词鉴伪。,开源；国际政治,pie-ep136.mp3.srt
第137期,2024-11-04,开源又何必只是代码,李俊、王老师、老庄,,这期我们聊了今年的中国开源年会、帝国大选速报、你所不知道的阿里还有开源在现代人工智能发展中的作用。,人工智能；开源；软件开发；国际政治,pie-ep137.mp3.srt
第138期,2024-11-10,懂王2.0,李俊、王老师、老庄,,这一期我们回顾盘点了今年的帝国大选，点评了社会治理的一些深层难题，以及广告行业与隐私保护的复杂现状，当然还有十一月的荐书。,互联网与平台；国际政治；法律与治理；社会生活,pie-ep138.mp3.srt
第139期,2024-11-17,新时代珠展,李俊、王老师、老庄,,这期我们点评了关于AI的几个新闻，然后聊了帝国新一轮的“大点将”、新时代的珠海航展、李子柒的传奇回归还有越来越看不懂的双十一战报。,人工智能；国际政治；媒体与信息,pie-ep139.mp3.srt
第140期,2024-11-24,虚假和真实的货币战争,李俊、王老师、老庄,,这期我们聊了俄国人的大炮仗、何同学的塌房、比特币与货币战争，还有新一期的名词鉴伪。,经济与产业；媒体与信息；航天与军事,pie-ep140.mp3.srt
第141期,2024-11-30,对平台算法问题开刀,李俊、王老师、老庄,,这期我们聊了专业制造假新闻的案例、华为发布会背后的创新难题、后互联网时代的社会治理挑战、新一轮网络平台算法治理行动，以及为啥欧洲现在造不出电池了。,互联网与平台；国际政治；法律与治理；经济与产业；媒体与信息；社会生活,pie-ep141.mp3.srt
第142期,2024-12-07,当AI走入人生,李俊、王老师、老庄,,这期我们重点聊了AI走入人生方方面面的几个有意思的场景：家电、数字内容与营销、以及写论文，另外点评了供应链上的“降价函”以及逝去的金庸琼瑶们，还有新的名词鉴伪。,人工智能；媒体与信息；社会生活,pie-ep142.mp3.srt
第143期,2024-12-15,TGA失格记,李俊、王老师、老庄,,本期我们聊了今年的 TGA 游戏大奖、近期东亚某国和中东某国的变局、奇葩公司极某、王老师每年例行的开源贡献与影响力榜，还有十二月的荐书。,开源；教育与学习；游戏与文娱,pie-ep143.mp3.srt
第144期,2024-12-22,软件开发革命来了吗,李俊、王老师、老庄,,告示：欢迎听友们给我们分享你的2024一段话感悟或体会，我们会在下周的年末专题中筛选优质来稿分享给全体听友。你可以通过听友群、节目评论或者平台私信给我们留言，感谢大家！,软件开发；互联网与平台；节目与社群,pie-ep144.mp3.srt
第145期,2024-12-28,愿大家都有美好的2025,李俊、王老师、老庄,,本期是2024年末（超长）特辑，除了年底军迷大过节、中美制度竞争、名词鉴伪“优绩主义”这几个很有意思的话题，还有我们的2024盘点及2025预言。,航天与军事,pie-ep145.mp3.srt
第146期,2025-01-05,DOGE vs MAGA,李俊、王老师、老庄,,这期我们主要聊了 DOGE 部大战 MAGA 核心派的深层逻辑，GitHub 的假星星，全球文科倒闭潮，还有新一期名词鉴伪。,开源；教育与学习；国际政治,pie-ep146.mp3.srt
第147期,2025-01-12,懂王将登基 本月美瓜产量翻倍,李俊、王老师、老庄,,这期我们和大家一起品味了最新产自美利坚的大小瓜若干，还聊了最新销售数据折射出的实体书的未来，当然还有新年第一期荐书。,国际政治；数据与科学；社会生活,pie-ep147.mp3.srt
第148期,2025-01-17,世界人民大团结万岁,李俊、王老师、老庄,,这期我们只聊了两个话题，但都是重量级的：小红书和大语言模型应用开发。,软件开发；国际政治,pie-ep148.mp3.srt
第149期,2025-01-25,DeepSeek vs Stargate,李俊、王老师、老庄,,农历龙年的最后一期，提前祝所有听友新春快乐、身体健康、诸事顺意！这期我们聊了更多小红书的思考、TikTok 问题的新阶段、中美AI竞争还有两个关于教育的话题。,人工智能；教育与学习；节目与社群,pie-ep149.mp3.srt
第150期,2025-02-08,哪吒和DS冲击,李俊、王老师、老庄,,蛇年的第一期节目来了，这期我们聊了懂王上任20天的惊天瓜雨，今年的春晚和春节档电影，以及继续关注和分析DeepSeek冲击。,人工智能；国际政治；游戏与文娱；社会生活；节目与社群,pie-ep150.mp3.srt
第151期,2025-02-15,新时代开源,李俊、王老师、老庄,,重要通知：又快到我们节目的周年纪念了，今年和去年一样会举行线上/线下两场活动（时间在三月初），报名前往：https://wj.qq.com/s2/17959960/rzn8/,开源；节目与社群,pie-ep151.mp3.srt
第152期,2025-02-23,人工智能时代,李俊、王老师、老庄,,重要通知：周年庆③活动安排线下：2025-03-01 13:00-16:00 上海市徐汇区田林路192号J楼线上：2025-03-01 19:00-22:00 726-394-682,人工智能；节目与社群,pie-ep152.mp3.srt
特别篇·三周年,2025-03-02,三周年活动实录,李俊、王老师、老庄,听友,三周年线上直播问答实录，包括普通人如何面对人工智能时代、人工智能时代的教育以及吃瓜进阶指南三个大板块，以及现场听友的自由问答。,人工智能；教育与学习；媒体与信息；节目与社群,pie-3nd-anniv.mp3.srt
第153期,2025-03-08,全球驻华办,李俊、王老师、老庄,,这一期我们聊了某个近期特别火的产品、DeepSeek 的开源周、2025年的义乌、以及 Rust 语言的新风波。,人工智能；开源；软件开发；国际政治,pie-ep153.mp3.srt
第154期,2025-03-15,随缘编程,李俊、王老师、老庄,,这一期我们聊了微软重写TypeScript、MCP的背后、50天50赢、Vibe Coding以及开源与你，当然还有本月的荐书。,开源；软件开发,pie-ep154.mp3.srt
第155期,2025-03-23,后互联网时代的黑产,李俊、王老师、老庄,,这一期我们聊了帝国的F-47、某些人的“在商言商”、俄乌冲突的底层逻辑、后互联网时代的黑产，以及AI时代的编程入门问题。,人工智能；软件开发；互联网与平台；国际政治,（本地缺失）
第156期,2025-04-01,AOSP咋回事,李俊、王老师、老庄,,这期我们先点评了了一组近期新闻，然后重点聊了 Google 对 AOSP 的开源策略调整，以及缤纷多彩的 Signal-gate 事件。,开源；互联网与平台；媒体与信息,（本地缺失）
第157期,2025-04-06,万国关税战,李俊、王老师、老庄,,这一期我们聊了懂王的万国关税战、新智能车高速车祸背后的思考、被盯上的阿里千问团队、北大专家对“AI叙事”的批判之批判，以及最新一期名词鉴伪AI专题。,人工智能；国际政治,pie-ep157.mp3.srt
第158期,2025-04-12,美元霸权与世界未来,李俊、王老师、老庄,,这一期我们聊了最近发布的 Llama 4、Google 的 A2A 与我们的接口标准、老庄参加今年 2050 活动的专题、甲亢哥中国行总结，以及从美元霸权角度分析的关税战底层逻辑。,互联网与平台；国际政治；经济与产业；社会生活,pie-ep158.mp3.srt
第159期,2025-04-20,还没到中场休息,李俊、王老师、老庄,,这期我们聊了总体战、马老板的未来、OpenAI入局AI编程、AI的下半场(?)以及技术选型的一些经验，当然还有本月的荐书。,人工智能；软件开发；社会生活,pie-ep159.mp3.srt
第160期,2025-04-26,智能体谁正宗,李俊、王老师、老庄,,这一期我们聊了人与AI的情感连接、智能体开发框架话语权争夺、加拿大华人锐评美国现状、复旦大学的改革，还有硝烟乍起的外卖平台商战。,人工智能；软件开发；互联网与平台；教育与学习；国际政治,pie-ep160.mp3.srt
第161期,2025-05-04,AI时代的IDE战争,李俊、王老师、老庄,,这一期我们聊了懂王百日、老庄的2050活动回顾、Qwen3、两位董小姐和AI时代的IDE战争。,人工智能；软件开发；国际政治；航天与军事,pie-ep161.mp3.srt
第162期,2025-05-10,中国军迷过节,李俊、王老师、老庄,,这一期我们聊了IDE战争的一些补充信息、即将上市的鸿蒙电脑、中美贸易接触、印巴打仗中国军迷过节，还有人社部公示的新职业新工种。,软件开发；国际政治；媒体与信息；航天与军事,pie-ep162.mp3.srt
第163期,2025-05-16,思考还是不思考,李俊、王老师、老庄,,这期我们继续关注中美贸易战、超视距空战、协和医院4+4事件后续，还有一种利用 Vibe Coding 漏洞的新型攻击手法，然后讨论了大语言模型的深度思考模式和教育部关于人工智能的两个指南，当然，还有五月的荐书。,人工智能；教育与学习,pie-ep163.mp3.srt
第164期,2025-05-25,Google回来了,李俊、王老师、老庄,,这一期我们聊了华为的折叠屏笔记本电脑、小米的3纳米芯片、今年的Google I/O、老庄专访MoonBit的张宏波老师，分享了我们心目中的中华文化核心特征，还有关于AI审稿的思考。,人工智能；互联网与平台；教育与学习；经济与产业；历史与文化,pie-ep164.mp3.srt
第165期,2025-05-31,赛博国际主义,李俊、王老师、老庄,,大家端午快乐！这一期我们聊了最近新发布的一线大模型、懂王的报复、赛博淞沪会战中的国际主义、Java 语言 30 岁，还有蚂蚁新发布的开源大模型全景报告。,人工智能；开源；国际政治,pie-ep165.mp3.srt
第166期,2025-06-08,读读AI趋势报告,李俊、王老师、老庄,,这一期我们聊了中美贸易战的延续，Anthropic 对 Windsurf 断供，新老哈佛女孩，Mary Meeker 的 AI 趋势报告，还有 AI 终端产品的现状与未来。,人工智能；软件开发；社会生活,pie-ep166.mp3.srt
第167期,2025-06-14,从高考迈向人生巅峰,李俊、王老师、老庄,,本期我们聊了近期的以伊冲突、馆长访陆和印航空难几件时事，还有高考作文题和我们仨的人生路径选择，当然还有六月的荐书。,教育与学习；航天与军事；社会生活,pie-ep167.mp3.srt
第168期,2025-06-21,怎么正确读新闻,李俊、王老师、老庄,,这期我们聊了以伊冲突的走向，怎么做好文章，怎么正确读新闻，还有久违的名词鉴伪。,媒体与信息,pie-ep168.mp3.srt
第169期,2025-06-28,“著书立说”的终结,李俊、王老师、老庄,,本期是小话题大杂烩，我们聊了创纪录的七个话题：“9.3”大阅兵前瞻、美国到底炸没炸到伊朗核设施、懂王北约喜当爹、龙芯新产品发布、Google 开源 Gemini CLI 和 A2A 协议、Anthropic 赢得书籍版权官司的可能影响。,开源；软件开发；互联网与平台；国际政治；法律与治理；历史与文化,pie-ep169.mp3.srt
第170期,2025-07-05,您智商多少,李俊、王老师、老庄,,这期我们聊了Meta大手笔挖人、东南某岛、数字教材以及关于“智商”的名词鉴伪。,综合话题,pie-ep170.mp3.srt
第171期,2025-07-12,华为怎么了,李俊、王老师、老庄,,这期我们聊了月之暗面新发布的大模型K2、大漂亮法案与美国党、华为盘古模型风波和天水铅中毒事件，当然还有七月的荐书。,人工智能；互联网与平台；国际政治,pie-ep171.mp3.srt
第172期,2025-07-19,人工智能大国竞争,李俊、王老师、老庄,,这一期我们聊了懂王访华、媒体与认知战、人工智能的大国竞争、Vibe Coding 的迷思，还有新的名词鉴伪。,人工智能；国际政治；媒体与信息,pie-ep172.mp3.srt
第173期,2025-07-27,未来水世界,李俊、王老师、老庄,,这一期话题比较多，我们点评了近期的一组热点新闻如岛上的大罢免、世界人工智能大会、美国的新AI行动方案还有千问新开源的编程大模型，然后重点聊了杭州余杭的污水事件、雅江下游水利工程、还有PowerPoint的正确使用姿势。,人工智能；开源；软件开发；国际政治；媒体与信息；社会生活,pie-ep173.mp3.srt
第174期,2025-08-03,敬畏历史方有未来,李俊、王老师、老庄,,这一期我们聊了认知战、NVIDIA H20后门、“互联网60年”征文活动、今年的CCF年度大会、中国的单机游戏大作，还有《南京照相馆》背后的中日史观。,互联网与平台；国际政治；历史与文化；游戏与文娱；社会生活,pie-ep174.mp3.srt
第175期,2025-08-10,开源理想、现实与陷阱,李俊、王老师、老庄,,这一期我们回应了“要不要带孩子去看《南京照相馆》”的问题，还聊了OpenAI最新的发布、KubeSphere和华为CANN的开源事件、关于核武器的科普还有“西方伪史论”与正确历史观。,人工智能；开源；互联网与平台；历史与文化,pie-ep175.mp3.srt
第176期,2025-08-16,安克雷奇又一年,李俊、王老师、老庄,,这一期我们聊了 GitHub CEO 离职可能的影响、美俄安克雷奇峰会、AI 女友与犯罪以及 AI 浏览器，当然还有八月的荐书。,人工智能；开源；国际政治；法律与治理,pie-ep176.mp3.srt
第177期,2025-08-23,对美认知的变迁,李俊、王老师、老庄,,这一期我们延续上周话题聊了虚拟角色社交的风险，聊了本周 DeepSeek-V3.1 和黑神话·钟馗的发布，还有俄乌战争未来走向、“九三”阅兵前瞻以及我们对美国认知的变迁。,人工智能；国际政治；航天与军事；社会生活,pie-ep177.mp3.srt
第178期,2025-08-30,快步迈进AI新纪元,李俊、王老师、老庄,,这一期我们聊了小孩卫冕EWC街霸世界冠军、下个月的AI生态创新大会、下周的纪念活动倒计时、关于深入实施“人工智能+”行动的意见、一些值得大家关注的新骗术，还有我们的新专题“经典阴谋论”。,人工智能；国际政治；媒体与信息,pie-ep178.mp3.srt
第179期,2025-09-06,胜利日纪念活动盘点,李俊、王老师、老庄,,本期我们聊了 Anthropic 开始收紧服务限制、人工智能生成合成内容标识办法正式开始实施、欧洲开源软件贡献下降这几个新闻，还重点盘点了一下胜利日纪念活动中有意思的点。,人工智能；开源；软件开发；国际政治；媒体与信息；航天与军事,pie-ep179.mp3.srt
第180期,2025-09-14,犹他州的枪声,李俊、王老师、老庄,,这一期我们回应了听友关于阅兵装备的一些补充问题，重点聊了美国极右翼青年政治活动家被枪杀事件，以及我们对日本的一些看法，当然还有9月的荐书。,国际政治；节目与社群,pie-ep180.mp3.srt
第181期,2025-09-21,能力越大责任越大,李俊、王老师、老庄,,这期我们聊了老庄的日本行、关于AI、MySQL和TikTok的新闻，还有餐饮行业和国际责任的话题。,人工智能；媒体与信息,pie-ep181.mp3.srt
第182期,2025-09-27,载入史册的弹射,李俊、王老师、老庄,,本期我们聊了美国TikTok最新进展、华为的AI战略、今年的联大、载入史册的隐身舰载机弹射，还有“AI垃圾”。,人工智能；互联网与平台；国际政治；航天与军事,pie-ep182.mp3.srt
第183期,2025-10-05,可控核聚变还有多远,李俊、王老师、老庄,,本期我们聊了DeepSeek 3.2、韩国政府数据中心火灾、美军大整风、可控核聚变、K签还有新一期经典阴谋论。,人工智能；数据与科学；媒体与信息,pie-ep183.mp3.srt
第184期,2025-10-12,东大是个好学生,李俊、王老师、老庄,,本期我们聊了今年的诺奖、东大认真学习长臂管辖等先进经验、AI人才流动趋势还有日本政坛的近期动荡，当然还有10月的荐书。,人工智能；教育与学习；历史与文化,pie-ep184.mp3.srt
第185期,2025-10-18,谁才是正常人,李俊、王老师、老庄,,这一期我们聊了一大堆近期新闻，还有青少年使用社交网络的问题，以及新的名词鉴伪。,媒体与信息,pie-ep185.mp3.srt
第186期,2025-10-25,以史为鉴明辨是非,李俊、王老师、老庄,,这一期我们聊了日本新内阁的首次施政方针内容、电诈案件中的比特币、DeepSeek-OCR、德勤用 AI 给澳政府写假报告，以及新的专栏“人人都该了解的近代史”创刊号。,人工智能；媒体与信息,pie-ep186.mp3.srt
第187期,2025-11-01,懂王亚洲行,李俊、王老师、老庄,,本期我们聊了懂王亚洲行、AI炒币炒股秀、“十五五”规划、王老师的2025全球开源发展报告，还有AI时代的摄影。,人工智能；开源；教育与学习；国际政治,pie-ep187.mp3.srt
第188期,2025-11-09,野史背后,李俊、王老师、老庄,,这一期我们聊了一组新闻，还有野史背后的陷阱、预印本网站 arXiv 禁止大部分综述类论文、Linux 基金会的全球开源现状报告，还有新一期的近代史乱弹。,开源；国际政治；媒体与信息；历史与文化,pie-ep188.mp3.srt
